storm,pr_max,pr_sum,MltnInd,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD,nStrahler1,Dd_km-1,Ct_km,Tf_hr,L_toOutlet_km,V_m_s,LRiverNetwork_km
2,2.82114627746139,6.62123719005717,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
3,5.2653294401453,62.080892630292,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
0,2.83670387781349,18.3240315316184,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
1,9.42434353066176,29.265376937938,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
2,2.84030332878951,7.09344170086416,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
3,5.23552346631291,61.4034556471514,0.61,24.12,0.352906856230769,2760112.0574083,17.1,15.713965076217296,13.0,2.917,37.92,0.89,4.43703,1.3774571212258513,8.05
0,2.77856180121449,18.1011535713222,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
1,9.09868548904657,29.1441332830767,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
2,2.87092246778648,7.84817661824569,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
3,5.20205255029988,60.6154876123759,0.6,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597,17.0,2.372,40.32,1.35,6.56073,1.349818538617241,13.14
0,2.90866789977503,18.5998936158043,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
1,9.87908991514505,30.6672341825396,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
2,2.86543644963863,7.71295108319782,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
3,5.21838348727122,60.8075211355957,0.77,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574,9.0,2.565,23.09,0.65,3.97969,1.6907855877698534,7.33
0,2.82775252374537,18.2897180076906,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
1,9.42683500970094,30.4847099611546,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
2,2.90654688009719,8.72628713222013,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
3,5.18454081297985,60.0492411139907,0.66,26.47,0.395243951608638,4578773.025556286,22.0,20.0513224176706,24.0,3.405,81.72,0.98,5.438350000000001,1.5458393284257,15.59
0,2.88887027947174,18.524002737975,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
1,9.79167689775642,31.4402107817986,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
2,2.91512109402113,8.93763398420514,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
3,5.20475843304095,60.3300067366374,1.19,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064,3.0,3.549,10.65,0.51,3.13462,1.7183796387325414,3.03
0,2.92323096522344,18.6557187000232,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
1,9.98625491852219,31.6613828543267,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
2,2.90479619977695,8.68313439801087,1.18,28.84,0.094130020837511,226144.4461177461,25.9,26.190810486232763,1.0,5.085,5.08,0.18,1.29518,1.9965545814089625,1.15
